Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
0.07499980926513672,-17.081,-2.983,-0.664,0.0474,0.2314,0.4046,-0.542,0.085,-9.735,0.001854,-0.001146,0.000669
0.15199995040893555,-17.078,-2.983,-0.667,0.0494,0.2278,0.4008,-0.541,0.156,-9.746,-0.000301,-0.00211,0.00255
0.25799989700317383,-17.076,-2.981,-0.671,0.0452,0.2267,0.4058,-0.388,0.245,-9.804,-0.000662,-0.004455,0.001036
0.36099982261657715,-17.07,-2.983,-0.669,0.0472,0.223,0.4034,-0.489,0.242,-9.819,0.001404,-0.001896,-0.000512
0.47499990463256836,-17.072,-2.983,-0.669,0.0452,0.2243,0.4046,-0.495,0.124,-9.748,0.000877,-1.8e-05,0.001819
0.5729999542236328,-17.073,-2.985,-0.668,0.0474,0.2314,0.402,-0.537,0.057,-9.603,-0.000279,0.000904,-0.001213
0.7259998321533203,-17.069,-2.985,-0.669,0.0474,0.2314,0.4046,-0.501,0.096,-9.745,-0.000515,-0.000734,-0.000861
0.8439998626708984,-17.066,-2.983,-0.667,0.0505,0.2254,0.4048,-0.471,0.061,-9.694,4.6e-05,-0.001542,-0.000499
0.9459998607635498,-17.063,-2.983,-0.667,0.0441,0.2231,0.4059,-0.539,0.148,-9.743,-0.00072,-0.000318,0.001148
1.0469999313354492,-17.063,-2.984,-0.669,0.0473,0.2242,0.406,-0.641,0.198,-9.817,-0.006083,0.003523,0.001282
1.1729998588562012,-17.064,-2.981,-0.672,0.0484,0.2278,0.4047,-0.536,0.176,-9.751,-0.001419,-0.000389,-0.000724
1.2719998359680176,-17.063,-2.982,-0.671,0.0463,0.229,0.4033,-0.537,0.141,-9.731,0.00131,0.000754,0.000329
1.376999855041504,-17.065,-2.982,-0.669,0.0474,0.2278,0.4072,-0.569,0.124,-9.746,7.9e-05,-0.001394,-0.000179
1.49399995803833,-17.063,-2.98,-0.668,0.0483,0.2242,0.4021,-0.478,0.129,-9.757,-0.000802,0.002061,-0.000523
1.5969998836517334,-17.064,-2.98,-0.667,0.0464,0.2326,0.4032,-0.475,0.145,-9.774,0.001026,6e-06,0.000565
1.6999998092651367,-17.061,-2.978,-0.667,0.0463,0.2302,0.4045,-0.489,0.124,-9.744,0.000855,-0.000247,-5.2e-05
1.7999999523162842,-17.06,-2.98,-0.666,0.0473,0.2242,0.4034,-0.508,0.095,-9.73,4.4e-05,-2.5e-05,-0.000344
1.9059998989105225,-17.058,-2.979,-0.668,0.0494,0.2254,0.4022,-0.533,0.145,-9.741,1.7e-05,-0.001156,0.000534
2.0119998455047607,-17.05,-2.978,-0.672,0.0483,0.2254,0.4034,-0.562,0.134,-9.787,0.000433,-0.000825,-0.000678
2.115000009536743,-17.039,-2.974,-0.674,0.0484,0.2266,0.4047,-0.54,0.174,-9.746,0.000773,0.000838,0.001664
2.2219998836517334,-17.034,-2.951,-0.676,0.0484,0.2302,0.4033,-0.42,0.17,-9.796,-0.002065,0.007696,0.001571
2.303999900817871,-17.034,-2.977,-0.67,0.0483,0.2242,0.4021,-0.521,0.057,-9.727,-0.001267,-0.002602,-0.000677
2.4069998264312744,-17.027,-2.974,-0.678,0.0506,0.2325,0.4008,-0.521,0.084,-9.709,-0.0018,0.003629,0.001466
2.4719998836517334,-17.021,-2.969,-0.68,0.0515,0.2266,0.4023,-0.398,0.077,-9.7,-0.001162,0.001649,0.000892
2.56499981880188,-17.014,-2.959,-0.697,0.0463,0.229,0.4046,-0.467,0.126,-9.758,-0.006957,-0.005574,-0.000176
2.626999855041504,-17.015,-2.959,-0.718,0.0484,0.2266,0.406,-0.479,0.124,-9.685,-0.009253,0.003708,-0.001925
2.7259998321533203,-17.059,-2.893,-0.81,0.0484,0.2266,0.4034,-0.056,-0.054,-9.844,-0.026531,0.006292,-0.0534
2.7990000247955322,-17.856,-2.864,-1.351,0.0472,0.2195,0.4035,-0.444,-1.268,-9.768,-0.318911,0.02452,-0.300881
2.8980000019073486,-19.786,-2.713,-5.019,0.0403,0.1898,0.4114,-0.686,-0.331,-9.661,-0.942899,0.065838,-0.325478
3.001999855041504,-21.428,-2.378,-11.869,0.0361,0.1284,0.4251,-0.852,0.922,-9.169,-1.440617,0.153214,-0.235088
3.1009998321533203,-22.635,-1.664,-21.136,0.0206,0.054,0.4138,-0.479,3.106,-8.524,-1.738533,0.174929,-0.077601
3.2009999752044678,-23.39,-0.92,-30.737,0.0169,-0.0321,0.4193,-0.402,6.078,-7.742,-1.51696,0.231651,-0.162597
3.317999839782715,-25.261,-0.248,-40.534,-0.001,-0.1177,0.3873,0.753,6.164,-7.152,-1.372285,0.088603,0.057459
3.435999870300293,-25.446,0.474,-50.035,-0.0188,-0.1794,0.3604,-0.176,8.074,-5.832,-1.230886,0.130648,0.005848
3.513000011444092,-25.978,0.806,-54.958,-0.0222,-0.2256,0.3296,0.635,8.053,-5.35,-1.09381,0.105831,0.011467
3.5859999656677246,-26.102,0.997,-57.999,-0.0311,-0.2475,0.3069,0.355,8.735,-4.928,-1.016316,0.06314,0.031101
3.686999797821045,-26.024,1.41,-64.452,-0.0419,-0.2972,0.2644,0.041,9.444,-3.951,-0.781074,0.001413,0.061409
3.7849998474121094,-26.14,1.665,-68.306,-0.052,-0.3261,0.2404,0.282,9.14,-3.485,-0.610603,0.043761,0.019698
3.8959999084472656,-26.271,1.905,-72.005,-0.0732,-0.3268,0.2252,0.266,9.222,-2.93,-0.690362,0.033452,0.039639
4.007999897003174,-26.322,2.175,-76.323,-0.0792,-0.3515,0.1864,0.083,10.952,-1.983,-0.381113,0.015145,0.021431
4.162999868392944,-26.656,2.051,-73.944,-0.0788,-0.3414,0.2033,0.475,10.57,-2.337,0.819819,-0.010078,-0.049412
4.284999847412109,-26.248,1.662,-66.476,-0.0632,-0.2944,0.2592,0.671,9.032,-3.566,1.134268,-0.144289,-0.018647
4.381999969482422,-25.499,1.288,-61.547,-0.054,-0.2576,0.298,-0.069,8.815,-4.219,1.159224,-0.205256,0.009372
4.494999885559082,-25.285,0.75,-52.643,-0.0381,-0.195,0.3561,0.437,8.268,-5.467,1.339296,-0.047807,-0.06834
4.609999895095825,-25.172,-0.07,-42.197,-0.0185,-0.1088,0.4151,0.056,6.427,-6.73,1.49487,-0.08657,-0.070639
4.768999814987183,-24.455,-0.903,-30.58,-0.0063,-0.0156,0.4492,-0.644,4.974,-7.982,1.179344,-0.10294,0.040443
4.888999938964844,-23.868,-1.499,-22.565,0.0075,0.0612,0.4659,-0.487,3.549,-8.962,1.176737,-0.178893,0.221241
4.990999937057495,-22.202,-2.1,-14.143,0.0179,0.1312,0.4749,-0.569,0.666,-9.019,1.650387,-0.243954,0.529048
5.101999998092651,-21.668,-2.465,-8.592,0.0162,0.1746,0.4746,-0.045,0.851,-9.664,0.258057,0.001833,-0.126472
5.203999996185303,-21.955,-2.462,-8.284,0.0192,0.1801,0.4686,-0.36,2.835,-9.463,0.166976,0.014091,-0.071273
5.309999942779541,-22.903,-2.807,-3.041,0.0228,0.2163,0.4694,0.065,0.213,-9.872,0.928499,-0.067775,-0.107651
5.41100001335144,-22.661,-2.939,-0.826,0.0243,0.2448,0.4642,2.276,0.68,-10.773,-0.005043,-0.031243,0.199957
5.562999963760376,-22.379,-3.016,-0.718,0.0243,0.2437,0.4666,-0.512,0.229,-9.756,0.016342,-0.020013,-0.00315
5.726999998092651,-22.375,-3.054,-0.659,0.0282,0.2426,0.4656,-0.918,0.259,-9.755,0.020512,-0.002814,-0.000259
5.8429999351501465,-20.913,-2.141,0.138,0.0195,0.2471,0.4639,0.846,1.247,-10.597,0.297515,0.178592,0.398492
5.94599986076355,-19.708,-3.204,3.795,0.0335,0.2754,0.4521,-3.821,-1.43,-9.802,0.897993,-0.203955,0.283431
6.056999921798706,-17.545,-3.237,10.675,0.0385,0.3242,0.422,-0.561,-1.228,-9.714,1.043296,0.021516,0.211449
6.164999961853027,-16.254,-3.407,16.937,0.0477,0.3673,0.3992,-0.765,-2.724,-9.029,1.125803,0.038508,0.222174
6.264999866485596,-15.308,-3.502,23.123,0.0519,0.406,0.3716,-0.695,-3.999,-8.331,1.015093,0.048533,0.161605
6.366999864578247,-13.684,-3.513,28.347,0.0581,0.4394,0.3512,-0.814,-4.673,-8.261,0.876539,0.144347,0.270025
6.5289998054504395,-11.871,-3.462,35.181,0.0604,0.4676,0.3071,-0.675,-5.635,-7.723,0.754621,0.09571,0.101752
6.641999959945679,-11.307,-3.487,40.836,0.0653,0.4985,0.2797,-0.674,-6.488,-7.163,0.855963,-0.015241,-0.023067
6.751999855041504,-11.078,-3.433,44.886,0.0682,0.5177,0.2537,-0.858,-7.409,-6.335,0.562035,0.099466,0.081752
6.855999946594238,-9.714,-3.194,47.241,0.0681,0.5165,0.2443,-0.893,-7.546,-6.275,0.305333,0.309397,0.204199
6.9700000286102295,-6.681,-2.927,48.903,0.0721,0.5264,0.2262,-0.536,-6.945,-6.662,0.252859,0.289825,0.244854
7.072000026702881,-5.713,-3.102,50.821,0.0767,0.523,0.2159,-0.195,-7.139,-5.94,0.376308,-0.054892,0.168812
7.177999973297119,-5.694,-3.226,53.432,0.0786,0.5358,0.1992,-0.272,-7.863,-5.764,0.460754,-0.053475,-0.054804
7.296999931335449,-6.409,-3.204,55.794,0.0786,0.5454,0.1861,-0.805,-9.175,-4.535,0.085111,-0.022665,-0.015858
7.395999908447266,-5.959,-3.251,55.854,0.0796,0.5508,0.1837,-1.0,-7.782,-4.836,0.105933,0.126215,0.094307
7.497999906539917,-4.943,-3.203,58.548,0.0768,0.5584,0.1775,-0.031,-8.369,-5.527,0.679083,0.131093,0.059237
