#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543341316.863441,1050819148,0.327206,0.649941,0.377082,0.572994,-0.115444,1.630200,1.041587
1543341317.540964,1051819134,0.327139,0.649989,0.376986,0.573041,-0.115402,1.630237,1.041319
1543341318.550683,1052819120,0.327167,0.649978,0.377027,0.573010,-0.115435,1.630248,1.041432
1543341319.576598,1053819105,0.327125,0.649988,0.377106,0.572971,-0.115619,1.630219,1.041493
1543341320.586514,1054819091,0.327140,0.649999,0.377080,0.572967,-0.115579,1.630268,1.041474
1543341321.612185,1055819077,0.327189,0.649972,0.377063,0.572980,-0.115472,1.630261,1.041526
1543341322.621894,1056819062,0.327130,0.650001,0.377053,0.572988,-0.115544,1.630259,1.041414
1543341323.647587,1057819048,0.327150,0.649988,0.377040,0.573000,-0.115486,1.630250,1.041425
1543341324.657384,1058819034,0.327131,0.649971,0.377046,0.573027,-0.115485,1.630180,1.041405
1543341325.683313,1059819020,0.327116,0.650007,0.376991,0.573030,-0.115456,1.630255,1.041288
1543341326.692820,1060819005,0.327156,0.649971,0.377105,0.572973,-0.115567,1.630214,1.041543
1543341327.702551,1061818991,0.327124,0.649972,0.377102,0.572992,-0.115590,1.630176,1.041488
1543341328.728486,1062818977,0.327199,0.649987,0.377092,0.572939,-0.115537,1.630313,1.041586
1543341329.738222,1063818963,0.327281,0.649935,0.377138,0.572922,-0.115473,1.630283,1.041798
1543341330.763869,1064818948,0.327189,0.649952,0.377097,0.572981,-0.115500,1.630208,1.041584
1543341331.773666,1065818934,0.327170,0.649957,0.377071,0.573004,-0.115477,1.630194,1.041510
1543341332.799479,1066818920,0.327107,0.649988,0.377017,0.573040,-0.115479,1.630193,1.041319
1543341333.809228,1067818906,0.327103,0.649974,0.377000,0.573069,-0.115431,1.630153,1.041287
1543341334.835008,1068818891,0.327159,0.649991,0.377047,0.572987,-0.115495,1.630271,1.041450
1543341335.844735,1069818877,0.327163,0.649998,0.377105,0.572939,-0.115602,1.630294,1.041551
1543341336.870595,1070818863,0.327186,0.649988,0.377095,0.572943,-0.115554,1.630298,1.041572
1543341337.880329,1071818849,0.327215,0.649952,0.377184,0.572909,-0.115632,1.630242,1.041768
1543341338.906016,1072818834,0.327207,0.649931,0.377108,0.572988,-0.115474,1.630175,1.041632
1543341339.915870,1073818820,0.327176,0.649988,0.377124,0.572930,-0.115613,1.630286,1.041604
1543341340.941559,1074818806,0.327074,0.649991,0.377027,0.573048,-0.115528,1.630160,1.041284
1543341341.951413,1075818792,0.327164,0.649973,0.377043,0.573007,-0.115458,1.630230,1.041453
1543341342.977102,1076818777,0.327191,0.649962,0.377043,0.573005,-0.115420,1.630234,1.041497
1543341343.986969,1077818763,0.327160,0.649962,0.377118,0.572972,-0.115575,1.630197,1.041571
1543341344.996844,1078818749,0.327158,0.649967,0.377029,0.573026,-0.115429,1.630207,1.041422
1543341346.022481,1079818735,0.327174,0.649989,0.377046,0.572981,-0.115480,1.630286,1.041473
1543341347.032304,1080818720,0.327147,0.649994,0.377082,0.572968,-0.115570,1.630262,1.041487
1543341348.058109,1081818706,0.327181,0.649998,0.377091,0.572938,-0.115565,1.630317,1.041557
1543341349.067867,1082818692,0.327148,0.649973,0.377071,0.572998,-0.115519,1.630209,1.041474
1543341350.093789,1083818677,0.327228,0.649936,0.377055,0.573005,-0.115371,1.630216,1.041578
1543341351.103494,1084818663,0.327102,0.650010,0.377073,0.572981,-0.115613,1.630246,1.041400
1543341352.129641,1085818649,0.327150,0.649976,0.377035,0.573017,-0.115458,1.630219,1.041417
1543341353.139035,1086818635,0.327091,0.649994,0.377062,0.573012,-0.115580,1.630190,1.041368
1543341354.164708,1087818620,0.327219,0.649956,0.377125,0.572941,-0.115531,1.630259,1.041677
1543341355.174546,1088818606,0.327171,0.649971,0.377094,0.572972,-0.115537,1.630234,1.041548
1543341356.200235,1089818592,0.327214,0.649954,0.377056,0.572991,-0.115413,1.630245,1.041556
1543341357.210075,1090818578,0.327135,0.649977,0.377087,0.572990,-0.115562,1.630203,1.041479
1543341358.219885,1091818563,0.327196,0.649978,0.377056,0.572975,-0.115462,1.630284,1.041525
1543341359.245666,1092818549,0.327191,0.649961,0.377057,0.572997,-0.115441,1.630233,1.041520
1543341360.255546,1093818535,0.327130,0.650002,0.377074,0.572974,-0.115582,1.630261,1.041447
1543341361.281231,1094818521,0.327253,0.649976,0.377062,0.572940,-0.115426,1.630355,1.041625
1543341362.290989,1095818506,0.327011,0.650045,0.377006,0.573038,-0.115620,1.630216,1.041144
1543341363.316887,1096818492,0.327185,0.649975,0.377141,0.572928,-0.115614,1.630263,1.041648
1543341364.326536,1097818478,0.327212,0.649937,0.377102,0.572982,-0.115467,1.630198,1.041630
1543341365.352444,1098818464,0.327134,0.649963,0.377088,0.573006,-0.115545,1.630164,1.041481
1543341366.362078,1099818449,0.327221,0.649993,0.377023,0.572965,-0.115408,1.630356,1.041509
1543341367.387851,1100818435,0.327174,0.649956,0.377072,0.573002,-0.115473,1.630198,1.041518
1543341368.397661,1101818421,0.327217,0.649971,0.377104,0.572939,-0.115520,1.630295,1.041637
1543341369.423496,1102818407,0.327126,0.649953,0.377066,0.573036,-0.115498,1.630128,1.041433
1543341370.433366,1103818392,0.327161,0.649957,0.377003,0.573053,-0.115365,1.630183,1.041385
1543341371.458981,1104818378,0.327161,0.649993,0.377093,0.572954,-0.115576,1.630277,1.041528
1543341372.468814,1105818364,0.327138,0.649996,0.377048,0.572993,-0.115521,1.630256,1.041419
1543341373.494549,1106818350,0.327149,0.650010,0.377055,0.572966,-0.115545,1.630307,1.041446
1543341374.504411,1107818335,0.327148,0.649979,0.377055,0.573002,-0.115498,1.630224,1.041447
1543341375.514166,1108818321,0.327175,0.649979,0.377053,0.572988,-0.115474,1.630259,1.041487
1543341376.539960,1109818307,0.327182,0.649978,0.377089,0.572962,-0.115531,1.630265,1.041556
1543341377.549814,1110752757,0.327099,0.649993,0.377050,0.573017,-0.115549,1.630197,1.041359
1543341378.575862,1111818278,0.327128,0.649987,0.377099,0.572976,-0.115603,1.630218,1.041486
1543341379.585281,1112818264,0.327176,0.650001,0.377104,0.572928,-0.115596,1.630320,1.041571
