#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952365.691631,3909545214,-0.017915,0.949777,-0.008527,-0.312297,0.027391,-2.506636,-0.028719
1543952366.359418,3910545199,-0.017967,0.949738,-0.008568,-0.312412,0.027504,-2.506396,-0.028789
1543952367.376575,3911545185,-0.017917,0.949736,-0.008486,-0.312424,0.027318,-2.506368,-0.028745
1543952368.393983,3912545171,-0.017887,0.949727,-0.008551,-0.312450,0.027422,-2.506314,-0.028647
1543952369.411159,3913545157,-0.017896,0.949733,-0.008538,-0.312431,0.027404,-2.506353,-0.028673
1543952370.428258,3914545142,-0.017984,0.949716,-0.008595,-0.312476,0.027568,-2.506261,-0.028803
1543952371.445566,3915545128,-0.017910,0.949764,-0.008523,-0.312338,0.027381,-2.506550,-0.028711
1543952372.462845,3916545114,-0.010955,0.932931,-0.021212,-0.359262,0.047468,-2.406544,-0.005205
1543952373.480161,3917545099,0.024531,0.971925,0.074255,-0.221914,-0.155858,-2.693804,0.014909
1543952374.497946,3918545065,-0.006757,0.993983,0.072928,-0.081445,-0.144378,-2.976233,-0.025581
1543952375.514877,3919545052,-0.020395,0.997496,0.045959,-0.049724,-0.089780,-3.039935,-0.045458
1543952376.532303,3920545037,-0.025239,0.998892,0.011928,-0.037891,-0.021919,-3.065199,-0.051360
1543952377.549531,3921545024,-0.022252,0.999490,-0.000755,-0.022876,0.002527,-3.095882,-0.044462
1543952378.566701,3922545009,-0.021223,0.999605,-0.007636,-0.016772,0.015978,-3.108375,-0.042191
1543952379.583991,3923544995,-0.020947,0.999624,-0.011509,-0.013426,0.023574,-3.115222,-0.041593
1543952380.601000,3924544981,-0.020907,0.999616,-0.013422,-0.012268,0.027349,-3.117616,-0.041496
1543952381.618281,3925544967,-0.020809,0.999630,-0.013762,-0.010840,0.027968,-3.120483,-0.041332
1543952382.635503,3926544952,-0.020854,0.999630,-0.014310,-0.010023,0.029032,-3.122142,-0.041436
1543952383.652426,3927544938,-0.020906,0.999629,-0.014561,-0.009605,0.029516,-3.122990,-0.041547
1543952384.669559,3928544924,-0.021066,0.999622,-0.015003,-0.009356,0.030394,-3.123511,-0.041868
1543952385.686434,3929544909,-0.020917,0.999629,-0.014758,-0.009239,0.029895,-3.123729,-0.041577
1543952386.703445,3930544895,-0.020914,0.999632,-0.014741,-0.008995,0.029851,-3.124218,-0.041577
1543952387.720757,3931544881,-0.020903,0.999636,-0.014845,-0.008435,0.030036,-3.125341,-0.041571
1543952388.738117,3932544866,-0.020923,0.999639,-0.014854,-0.007948,0.030034,-3.126317,-0.041627
1543952389.755470,3933544851,-0.020855,0.999650,-0.014767,-0.006844,0.029814,-3.128518,-0.041524
1543952390.772609,3934544837,-0.020909,0.999654,-0.014458,-0.006802,0.029195,-3.128592,-0.041637
1543952391.790014,3935544824,-0.021008,0.999654,-0.014645,-0.005971,0.029535,-3.130264,-0.041857
1543952392.807031,3936544809,-0.020952,0.999653,-0.014893,-0.005802,0.030023,-3.130612,-0.041748
1543952393.824239,3937544794,-0.021008,0.999650,-0.015039,-0.005623,0.030308,-3.130978,-0.041863
1543952394.841675,3938544781,-0.020956,0.999648,-0.015056,-0.006156,0.030363,-3.129910,-0.041743
1543952395.858967,3939544766,-0.021112,0.999637,-0.015154,-0.007027,0.030598,-3.128177,-0.042027
1543952396.876134,3940544752,-0.020864,0.999637,-0.015459,-0.007098,0.031208,-3.128039,-0.041525
1543952397.893568,3941544737,-0.020860,0.999641,-0.015199,-0.007166,0.030691,-3.127893,-0.041519
1543952398.910750,3942544723,-0.020784,0.999645,-0.015012,-0.007192,0.030317,-3.127831,-0.041368
1543952399.927876,3943544709,-0.020781,0.999648,-0.014958,-0.006999,0.030202,-3.128216,-0.041368
1543952400.945144,3944544695,-0.020800,0.999644,-0.015044,-0.007240,0.030384,-3.127737,-0.041398
1543952401.962636,3945544680,-0.020843,0.999642,-0.015141,-0.007194,0.030576,-3.127835,-0.041484
1543952402.979755,3946544666,-0.020799,0.999642,-0.015137,-0.007400,0.030576,-3.127420,-0.041391
1543952403.997008,3947544652,-0.020853,0.999639,-0.015131,-0.007624,0.030575,-3.126973,-0.041491
1543952405.014477,3948544638,-0.020781,0.999642,-0.015099,-0.007456,0.030503,-3.127307,-0.041354
1543952406.031437,3949544623,-0.020798,0.999636,-0.015306,-0.007804,0.030931,-3.126619,-0.041373
1543952407.048577,3950544609,-0.020802,0.999637,-0.015217,-0.007831,0.030754,-3.126562,-0.041381
1543952408.065952,3951544596,-0.022462,0.999387,-0.012787,-0.023629,0.026623,-3.094904,-0.044322
1543952409.082852,3952544582,-0.025695,0.999410,-0.009200,-0.020832,0.019460,-3.100406,-0.051008
1543952410.099875,3953544568,-0.024525,0.999662,-0.008380,0.001747,0.016670,3.137689,-0.049090
1543952411.116875,3954544553,0.071194,0.996526,-0.040913,-0.013894,0.079648,-3.107963,0.143983
1543952412.134170,3955544538,0.063752,0.989153,-0.121837,-0.051658,0.236646,-3.020190,0.143178
1543952413.151092,3956544524,0.010446,0.996758,-0.062783,-0.049226,0.124451,-3.041204,0.027220
1543952414.168250,3957544509,-0.008520,0.998138,-0.030579,-0.052080,0.061972,-3.037762,-0.013851
1543952415.185237,3958544497,-0.015576,0.997624,-0.021837,-0.063451,0.045562,-3.015205,-0.028340
1543952416.202351,3959544482,-0.017917,0.997104,-0.017179,-0.071889,0.036843,-2.998260,-0.033289
1543952417.219369,3960544467,-0.018754,0.996685,-0.014038,-0.077916,0.030911,-2.986105,-0.035219
