#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952276.491938,3822256998,0.003481,-0.601144,0.045660,-0.797827,0.049363,1.289538,-0.077213
1543952277.159139,3823256983,0.003479,-0.601160,0.045666,-0.797815,0.049374,1.289578,-0.077220
1543952278.175653,3824256969,0.003508,-0.601136,0.045700,-0.797831,0.049365,1.289519,-0.077311
1543952279.192265,3825256955,0.003462,-0.601161,0.045619,-0.797817,0.049344,1.289580,-0.077124
1543952280.208345,3826256941,0.003534,-0.601163,0.045598,-0.797816,0.049205,1.289588,-0.077176
1543952281.225178,3827256926,0.003501,-0.601118,0.045696,-0.797845,0.049372,1.289472,-0.077297
1543952282.241815,3828256912,0.003444,-0.601148,0.045651,-0.797825,0.049412,1.289545,-0.077155
1543952283.258448,3829256898,0.003445,-0.601146,0.045662,-0.797826,0.049423,1.289540,-0.077173
1543952284.275378,3830256884,0.003448,-0.601144,0.045653,-0.797828,0.049407,1.289537,-0.077162
1543952285.292111,3831256869,0.003534,-0.601109,0.045654,-0.797854,0.049267,1.289451,-0.077269
1543952286.309873,3832256855,0.003448,-0.601142,0.045654,-0.797830,0.049407,1.289531,-0.077164
1543952287.326667,3833256841,0.003523,-0.601132,0.045617,-0.797839,0.049242,1.289511,-0.077195
1543952288.343209,3834256826,0.003533,-0.601148,0.045646,-0.797825,0.049263,1.289550,-0.077252
1543952289.359664,3835256812,0.003561,-0.601186,0.045561,-0.797801,0.049119,1.289646,-0.077149
1543952290.376529,3836256798,0.003492,-0.601134,0.045666,-0.797835,0.049350,1.289513,-0.077237
1543952291.393661,3837256784,0.003351,-0.601253,0.045894,-0.797732,0.049862,1.289802,-0.077425
1543952292.410713,3838256769,0.004135,-0.601009,0.045809,-0.797918,0.048484,1.289221,-0.078246
1543952293.427519,3839256755,0.004527,-0.600964,0.045846,-0.797947,0.047897,1.289125,-0.078778
1543952294.444486,3840256741,0.011908,-0.605451,0.043533,-0.794602,0.033796,1.300802,-0.083747
1543952295.461283,3841256727,0.016114,-0.594922,0.042036,-0.802522,0.024156,1.274792,-0.086777
1543952296.478329,3842256711,0.012947,-0.604589,0.041804,-0.795335,0.029958,1.298722,-0.082282
1543952297.495318,3843256698,0.011489,-0.623270,0.040891,-0.780852,0.033036,1.345980,-0.078304
1543952298.512301,3844256683,0.011963,-0.644334,0.042075,-0.763492,0.035962,1.400485,-0.079801
1543952299.529170,3845256670,0.016950,-0.617362,0.043535,-0.785291,0.027135,1.331271,-0.089456
1543952300.546082,3846256655,0.010306,-0.659041,0.045916,-0.750633,0.045064,1.439167,-0.082695
1543952301.562871,3847256640,0.010559,-0.641910,0.044860,-0.765394,0.041440,1.394047,-0.082390
1543952302.579552,3848256627,0.008785,-0.672469,0.045288,-0.738686,0.047949,1.475124,-0.078896
