#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952188.073853,3734934624,-0.024933,0.838348,-0.020785,0.544167,0.007714,1.989867,-0.064472
1543952188.743050,3735934610,-0.024625,0.838085,-0.020360,0.544603,0.007306,1.988866,-0.063496
1543952189.758840,3736934596,-0.024459,0.837569,-0.020246,0.545408,0.007235,1.986955,-0.063101
1543952190.776769,3737934581,-0.024494,0.837170,-0.020232,0.546019,0.007127,1.985500,-0.063150
1543952191.794964,3738934567,-0.024576,0.836985,-0.020302,0.546296,0.007133,1.984831,-0.063365
1543952192.811224,3739934553,-0.024585,0.836699,-0.020249,0.546735,0.007002,1.983787,-0.063327
1543952193.828555,3740869003,-0.024512,0.836598,-0.020251,0.546894,0.007073,1.983408,-0.063208
1543952194.844942,3741934524,-0.024689,0.836472,-0.020488,0.547070,0.007261,1.982968,-0.063765
1543952195.862320,3742934510,-0.024797,0.836547,-0.020620,0.546945,0.007375,1.983254,-0.064089
1543952196.879580,3743934496,-0.024866,0.836656,-0.020568,0.546776,0.007224,1.983661,-0.064147
1543952197.897036,3744934481,-0.024907,0.836759,-0.020679,0.546613,0.007379,1.984041,-0.064336
1543952198.914374,3745934467,-0.024852,0.836825,-0.020622,0.546517,0.007350,1.984275,-0.064180
1543952199.931864,3746934453,-0.024896,0.836971,-0.020794,0.546285,0.007607,1.984815,-0.064439
1543952200.949281,3747934439,-0.024939,0.837049,-0.020720,0.546167,0.007446,1.985104,-0.064429
1543952201.966588,3748934424,-0.024898,0.837088,-0.020663,0.546110,0.007401,1.985243,-0.064298
1543952202.983985,3749934410,-0.024804,0.837060,-0.020498,0.546163,0.007222,1.985131,-0.063960
1543952204.001619,3750934396,-0.024820,0.837078,-0.020585,0.546132,0.007352,1.985198,-0.064082
1543952205.018986,3751934382,-0.024962,0.837316,-0.020849,0.545751,0.007669,1.986084,-0.064605
1543952206.036359,3752934367,-0.024836,0.837214,-0.020665,0.545920,0.007486,1.985697,-0.064196
1543952207.053711,3753934353,-0.024649,0.837149,-0.020447,0.546037,0.007316,1.985438,-0.063645
1543952208.070991,3754934339,-0.024620,0.836840,-0.020383,0.546514,0.007205,1.984304,-0.063529
1543952209.088109,3755934325,-0.024708,0.836717,-0.020518,0.546693,0.007319,1.983865,-0.063827
1543952210.105606,3756934310,-0.024939,0.836969,-0.020811,0.546285,0.007589,1.984814,-0.064530
1543952211.122787,3757934296,-0.025086,0.837342,-0.020813,0.545706,0.007476,1.986195,-0.064774
1543952212.139947,3758934282,-0.024998,0.837487,-0.020708,0.545493,0.007413,1.986713,-0.064509
1543952213.157120,3759934268,-0.024955,0.837608,-0.020575,0.545313,0.007251,1.987153,-0.064292
1543952214.174544,3760934253,-0.024735,0.837269,-0.020449,0.545848,0.007240,1.985889,-0.063789
1543952215.191804,3761934239,-0.024826,0.837333,-0.020532,0.545742,0.007287,1.986133,-0.064031
1543952216.209163,3762934225,-0.024907,0.837468,-0.020715,0.545525,0.007522,1.986635,-0.064365
1543952217.226398,3763934211,-0.024881,0.837534,-0.020642,0.545428,0.007436,1.986874,-0.064240
1543952218.243629,3764934196,-0.024994,0.837683,-0.020857,0.545185,0.007691,1.987434,-0.064664
1543952219.260875,3765934182,-0.024885,0.837704,-0.020634,0.545167,0.007438,1.987497,-0.064236
